RecordKey,SurveyKey,SampleKey,StartDate,EndDate,DateType,Date,TaxonVersionKey,TaxonName,GridReference,East,North,Projection,Precision,SiteKey,SiteName,Recorder,Determiner,ZeroAbundance,UnderValidation,ImagePath,Heritage Type,Category of Tree,Tree form,Condition of tree,Age Range,Evidence of,Access,Variety,County,CommonName,BroadType,Longitude,Latitude
1,,,15/10/2009,15/10/2009,D,15/10/2009,NHMSYS0000455513,Abies alba,M145547,114593,254709,OSI,100,,"Ashford Castle Hotel, Co. Mayo",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Multi-stem,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Mayo,European Silver Fir,Firs,-9.290247133,53.53548334
2,,,28/08/2009,28/08/2009,D,28/08/2009,NHMSYS0000455513,Abies alba,T201853,320107,185394,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,European Silver Fir,Firs,,
3,,,11/09/2009,11/09/2009,D,11/09/2009,NHMSYS0000455513,Abies alba,H410449,241032,344912,OSI,100,,"Colebrooke Estate, Co. Fermanagh",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Fermanagh,European Silver Fir,Firs,-7.396266316,52.55429706
4,,,19/10/2009,19/10/2009,D,19/10/2009,NHMSYS0000455513,Abies alba,N297678,229707,267890,OSI,100,,"Newpass House, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Westmeath,European Silver Fir,Firs,-7.55150367,53.65929686
5,,,29/07/2009,29/07/2009,D,29/07/2009,NHMSYS0000455513,Abies alba,N448709,244859,270980,OSI,100,,"Tullynally Castle, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Westmeath,European Silver Fir,Firs,-7.322671846,53.68607293
7,,,07/08/2009,07/08/2009,D,07/08/2009,NHMSYS0000455513,Abies alba,T246879,324614,187926,OSI,100,,"Kilmacurragh, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,,Individual tree,Maiden,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,European Silver Fir,Firs,,
8,,,12/08/2009,12/08/2009,D,12/08/2009,NHMSYS0000455513,Abies alba,S317368,231729,136865,OSI,100,,"Clonmel, Co. Tipperary",Kate Crane,Kate Crane,FALSE,FALSE,,,Individual tree,,Gone,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Tipperary,European Silver Fir,Firs,,
9,,,22/10/2009,22/10/2009,D,22/10/2009,NBDCSYS000000010,Abies bracteata,G881125,188139,312558,OSI,100,,"Kilronan Castle, Ballyfarnon, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Roscommon,Bristlecone Fir,Firs,-8.175024314,52.26454931
10,,,11/09/2009,11/09/2009,D,11/09/2009,NBNSYS0000034011,Abies nordmanniana,H722421,272296,342181,OSI,100,,"Castle Leslie, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Monaghan,Nordmann Fir,Firs,-6.936959136,52.52589977
11,,,24/07/2009,24/07/2009,D,24/07/2009,NBNSYS0000039455,Abies procera,S640362,264009,136251,OSI,100,,"Woodstock Gardens, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group,Kilkenny,Noble Fir,Firs,,
12,,,28/08/2009,28/08/2009,D,28/08/2009,NBNSYS0000039455,Abies procera,T196862,319626,186271,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group,Wicklow,Noble Fir,Firs,,
13,,,24/08/2009,24/08/2009,D,24/08/2009,NBDCSYS000000011,Acacia dealbata,S725183,272544,118344,OSI,100,,"John F. Kennedy Arboretum, Co. Wexford",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wexford,Silver Wattle,Acacias,,
14,,,24/08/2009,24/08/2009,D,24/08/2009,NBDCSYS000000011,Acacia dealbata,S747355,274716,135588,OSI,100,,"Pollinmounty Mill, Co. Carlow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Unusual location,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Carlow,Silver Wattle,Acacias,,
15,,,22/10/2009,22/10/2009,D,22/10/2009,NBNSYS0000003193,Acer campestre,G700252,170076,325217,OSI,100,,"Markree House, Co. Sligo",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Sligo,Field Maple,Maples,-8.441256183,52.37798548
16,,,11/09/2009,11/09/2009,D,11/09/2009,NBNSYS0000003193,Acer campestre,H407443,240732,344380,OSI,100,,"Colebrooke Estate, Co. Fermanagh",Kate Crane,Kate Crane,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Fermanagh,Field Maple,Maples,-7.400762457,52.54892812
17,,,23/09/2009,23/09/2009,D,23/09/2009,NBNSYS0000014410,Acer cappadocicum,W607751,160795,75193,OSI,100,,"Blarney Estate, Co. Cork",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cork,Cappadocian Maple,Maples,,
21,,,01/09/2009,01/09/2009,D,01/09/2009,NHMSYS0020745983,Acer opalus,O213164,321380,216481,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Italian Maple,Maples,-6.186223194,53.18450306
22,,,15/09/2009,15/09/2009,D,15/09/2009,NBNSYS0000003192,Acer platanoides,S246237,224606,123793,OSI,100,,"Newtownanner Stud, Co. Tipperary",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Tipperary,Norway Maple,Maples,,
23,,,04/08/2009,04/08/2009,D,04/08/2009,NBNSYS0000003191,Acer pseudoplatanus,S921692,292170,169236,OSI,100,,"Money House, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Maiden,Fallen alive,200 - 300 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Sycamore Maple,Maples,,
24,,,14/10/2009,14/10/2009,D,14/10/2009,NBNSYS0000003191,Acer pseudoplatanus,M231671,123162,267145,OSI,100,,"Ballinrobe Golf Course, Co. Mayo",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Mayo,Sycamore Maple,Maples,-9.163628674,53.64819821
25,,,26/10/2009,26/10/2009,D,26/10/2009,NBNSYS0000003191,Acer pseudoplatanus,N758757,275820,275760,OSI,100,,"Headford Golf Club, Co. Meath",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Meath,Sycamore Maple,Maples,-6.852381971,53.72561653
27,,,30/07/2009,30/07/2009,D,30/07/2009,NBNSYS0000003191,Acer pseudoplatanus,H447169,244745,316960,OSI,100,,"Redhills House, Co. Cavan",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cavan,Sycamore Maple,Maples,-7.345460627,52.30240384
28,,,25/08/2009,25/08/2009,D,25/08/2009,NBNSYS0000003191,Acer pseudoplatanus,O165665,316520,266582,OSI,100,,"Gormanstown College, Co. Meath",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Meath,Sycamore Maple,Maples,-6.239498566,53.63550721
29,,,28/08/2009,28/08/2009,D,28/08/2009,NBNSYS0000003191,Acer pseudoplatanus,O290066,329065,206641,OSI,100,,"Druids Glen, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Sycamore Maple,Maples,-6.075049377,53.09468786
30,,,07/10/2009,07/10/2009,D,07/10/2009,NBNSYS0000003191,Acer pseudoplatanus,N933988,293309,298827,OSI,100,,"Knockabbey Gardens, Co. Louth",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Louth,Sycamore Maple,Maples,-6.580339742,53.93025697
31,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000003191,Acer pseudoplatanus,M746391,174666,239102,OSI,100,,"Clonbrock, Ballinasloe, Co. Galway",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Galway,Sycamore Maple,Maples,-8.382608176,53.40166525
32,,,30/07/2009,30/07/2009,D,30/07/2009,NBNSYS0000003191,Acer pseudoplatanus,H210163,221070,316341,OSI,100,,"Templeport, Bawnboy, Co. Cavan",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cavan,Sycamore Maple,Maples,-7.692913672,52.29842736
34,,,30/07/2009,30/07/2009,D,30/07/2009,NBNSYS0000003191,Acer pseudoplatanus,H384036,238400,303618,OSI,100,,"Kilmore Cathedral, Co. Cavan",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Named trees,Individual tree,Maiden,Standing alive,300 - 500 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cavan,Sycamore Maple,Maples,-7.43931812,52.18336281
35,,,24/09/2009,24/09/2009,D,24/09/2009,NBNSYS0000003191,Acer pseudoplatanus,W184312,118491,31213,OSI,100,,"Castletownsend, Co. Cork",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Named trees,Individual tree,Maiden,Standing alive,0 - 50 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cork,Sycamore Maple,Maples,,
37,,,23/07/2009,23/07/2009,D,23/07/2009,NBNSYS0000003191,Acer pseudoplatanus,S823597,282300,159758,OSI,100,,"Myshall Community Centre, Co. Carlow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Unusual location,Individual tree,Pollard,Fallen,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Carlow,Sycamore Maple,Maples,,
39,,,29/07/2009,29/07/2009,D,29/07/2009,NBNSYS0000003191,Acer pseudoplatanus,S389957,238985,195711,OSI,100,,"St. Fintan's Tree, Mountrath, Co. Laois",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Named trees,Roadside,Multi-stem,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Laois,Sycamore Maple,Maples,,
40,,,21/09/2009,21/09/2009,D,21/09/2009,NBNSYS0000042054,Acer rubrum,X045989,204524,98985,OSI,100,,"Lismore Castle, Co. Waterford",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Waterford,Red Maple,Maples,,
44,,,07/10/2009,07/10/2009,D,07/10/2009,NBNSYS0000004580,Aesculus hippocastanum,N787974,278794,297450,OSI,100,,"Dun A Ri Forest Park, Co. Cavan",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cavan,Horse Chestnut,Horse Chestnuts,-6.802912168,53.92010391
45,,,19/10/2009,19/10/2009,D,19/10/2009,NBNSYS0000004580,Aesculus hippocastanum,N321615,232159,261524,OSI,100,,"Kilbixy Church, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Westmeath,Horse Chestnut,Horse Chestnuts,-7.515851994,53.60255458
46,,,06/10/2009,06/10/2009,D,06/10/2009,NBNSYS0000004580,Aesculus hippocastanum,H261059,226103,305945,OSI,100,,"Killegar, Co. Leitrim",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Leitrim,Horse Chestnut,Horse Chestnuts,-7.618962568,52.20474994
47,,,27/07/2009,27/07/2009,D,27/07/2009,NBNSYS0000004580,Aesculus hippocastanum,S598446,259854,144689,OSI,100,,"Kilfane House, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Colony,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kilkenny,Horse Chestnut,Horse Chestnuts,,
49,,,22/10/2009,22/10/2009,D,22/10/2009,NBNSYS0000004580,Aesculus hippocastanum,G845039,184550,303900,OSI,100,,"Lough Key Forest Park, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Roscommon,Horse Chestnut,Horse Chestnuts,-8.227357588,52.18717456
50,,,04/09/2009,04/09/2009,D,04/09/2009,NBNSYS0000004580,Aesculus hippocastanum,N713307,271390,230709,OSI,100,,"Drummin House, Co. Kildare",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kildare,Horse Chestnut,Horse Chestnuts,-6.930775644,53.32200887
53,,,11/08/2009,11/08/2009,D,11/08/2009,NBNSYS0000004580,Aesculus hippocastanum,T274966,327474,196658,OSI,100,,"Rossanna, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Named trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Horse Chestnut,Horse Chestnuts,,
54,,,17/09/2009,17/09/2009,D,17/09/2009,NBNSYS0000004580,Aesculus hippocastanum,M960210,196090,221057,OSI,100,,"Clonfert Cathedral, Co. Galway",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Named trees,Individual tree,Maiden,Standing dead,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Galway,Horse Chestnut,Horse Chestnuts,-8.060646045,53.23963271
55,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000004580,Aesculus hippocastanum,M501282,150162,228297,OSI,100,,"Caheroyan, Athenry, Co. Galway",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Named trees,,Maiden,Standing alive,50 - 100 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Galway,Horse Chestnut,Horse Chestnuts,-8.749203343,53.30199037
56,,,21/08/2009,21/08/2009,D,21/08/2009,NBDCSYS000000012,Aesculus x carnea,S406646,240690,164686,OSI,100,,"The Square, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Landmark trees,,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kilkenny,Red Horse Chestnut,Horse Chestnuts,,
57,,,03/09/2009,03/09/2009,D,03/09/2009,NHMSYS0000455700,Ailanthus altissima,N935375,293520,237591,OSI,100,,"St.Patrick's College, Co. Kildare",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kildare,Tree of Heaven,Tree of Heaven,-6.595721673,53.37963741
59,,,30/09/2009,30/09/2009,D,30/09/2009,NHMSYS0000455771,Alnus glutinosa,V955858,95577,85840,OSI,100,,"Reenadinna Wood, Killarney National Park, Co. Kerr",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kerr,Common Alder,Alders,,
60,,,19/10/2009,19/10/2009,D,19/10/2009,NHMSYS0000455771,Alnus glutinosa,N255632,225522,263259,OSI,100,,"Legan, Co. Longford",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Longford,Common Alder,Alders,-7.615406802,53.61819015
61,,,01/10/2009,01/10/2009,D,01/10/2009,NHMSYS0000455771,Alnus glutinosa,Q879126,87964,112677,OSI,100,,"Ballyseedy Wood, Tralee, Co. Kerry",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kerry,Common Alder,Alders,-3.702935382,53.08654904
62,,,27/07/2009,27/07/2009,D,27/07/2009,NHMSYS0000455771,Alnus glutinosa,S601313,260183,131344,OSI,100,,"St. Mollins Well, Thomastown, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Named trees,Individual tree,Coppice,Standing alive,Not known,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kilkenny,Common Alder,Alders,,
63,,,01/09/2009,01/09/2009,D,01/09/2009,NHMSYS0000456023,Araucaria araucana,O208149,320804,214946,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Tree collection / Arboretum,Arboretum,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Monkey Puzzle Tree,Monkey Puzzle,-6.194264647,53.17114553
64,,,24/07/2009,24/07/2009,D,24/07/2009,NHMSYS0000456023,Araucaria araucana,S639362,263965,136267,OSI,100,,"Woodstock Gardens, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kilkenny,Monkey Puzzle Tree,Monkey Puzzle,,
65,,,01/09/2009,01/09/2009,D,01/09/2009,NHMSYS0000456023,Araucaria araucana,O210162,321094,216222,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,Monkey Puzzle Tree,Monkey Puzzle,-6.190784036,53.18277515
66,,,06/10/2009,06/10/2009,D,06/10/2009,NHMSYS0000456023,Araucaria araucana,N099936,209918,293675,OSI,100,,"Lough Rinn Hotel, Co. Leitrim",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Leitrim,Monkey Puzzle Tree,Monkey Puzzle,-7.850166938,53.89184018
67,,,07/10/2009,07/10/2009,D,07/10/2009,NHMSYS0000456023,Araucaria araucana,H829022,282929,302200,OSI,100,,"Lough Fea, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Monaghan,Monkey Puzzle Tree,Monkey Puzzle,-6.789182736,52.16589745
68,,,15/09/2009,15/09/2009,D,15/09/2009,NHMSYS0000456023,Araucaria araucana,S215222,221589,122223,OSI,100,,"Glenam House, Co. Tipperary",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Tipperary,Monkey Puzzle Tree,Monkey Puzzle,,
69,,,23/07/2009,23/07/2009,D,23/07/2009,NHMSYS0000456023,Araucaria araucana,S823598,282361,159805,OSI,100,,"Myshall Community Centre, Co. Carlow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Carlow,Monkey Puzzle Tree,Monkey Puzzle,,
70,,,01/10/2009,01/10/2009,D,01/10/2009,NBDCSYS000000013,Araucaria heterophylla,V405773,40558,77357,OSI,100,,"Glanleam, Valentia, Co. Kerry",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kerry,Norfolk Island Pine,Norfolk Island Pines,,
71,,,22/10/2009,22/10/2009,D,22/10/2009,NBNSYS0000003899,Arbutus unedo,G715336,171598,333609,OSI,100,,"Hazelwood Forest, Co. Sligo",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Sligo,Strawberry Tree,Strawberry Trees,-8.419946272,52.45354938
72,,,29/09/2009,29/09/2009,D,29/09/2009,NBNSYS0000003899,Arbutus unedo,V919820,91927,82093,OSI,100,,"Tower Wood, Co. Kerry",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kerry,Strawberry Tree,Strawberry Trees,,
73,,,30/09/2009,30/09/2009,D,30/09/2009,NBNSYS0000003899,Arbutus unedo,V940859,94005,85925,OSI,100,,"Reenadinna Wood, Killarney National Park, Co. Kerr",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Kerr,Strawberry Tree,Strawberry Trees,,
78,,,21/10/2009,21/10/2009,D,21/10/2009,NBNSYS0000003827,Betula pendula,C114197,211442,419708,OSI,100,,"Well of Doon, Co. Donegal",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Named trees,Individual tree,Maiden,Standing alive,Not known,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Donegal,Silver Birch,Birches,-7.836808097,51.43054484
79,,,13/08/2009,13/08/2009,D,13/08/2009,NBNSYS0000003197,Buxus sempervirens,N056054,205613,205499,OSI,100,,"Birr Castle, Co. Offaly",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Avenue,Multi-stem,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Offaly,Common Box,Boxwoods,-7.917134787,53.0994488
80,,,11/09/2009,11/09/2009,D,11/09/2009,NBNSYS0000042071,Calocedrus decurrens,H721416,272176,341626,OSI,100,,"Castle Leslie, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Monaghan,Incense Cedar,Incense Cedars,-6.93854057,52.52142064
82,,,15/10/2009,15/10/2009,D,15/10/2009,NBNSYS0000003838,Carpinus betulus,M172754,117246,275479,OSI,100,,"Carra Castle, Co. Mayo",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Mayo,European Hornbeam,Hornbeams,-9.255040775,53.72185158
83,,,25/09/2009,25/09/2009,D,25/09/2009,NHMSYS0000456969,Castanea sativa,R604075,160484,107589,OSI,100,,"Doneraille Park, Co. Cork",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Cork,Sweet Chestnut,Chestnuts,,
84,,,24/07/2009,24/07/2009,D,24/07/2009,NHMSYS0000456969,Castanea sativa,S726499,272657,149901,OSI,100,,"Borris House, Co. Carlow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Pollard,Dead,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Carlow,Sweet Chestnut,Chestnuts,,
