RecordKey,SurveyKey,SampleKey,StartDate,EndDate,DateType,Date,TaxonVersionKey,TaxonName,GridReference,East,North,Projection,Precision,SiteKey,SiteName,Recorder,Determiner,ZeroAbundance,UnderValidation,ImagePath,Heritage Type,Category of Tree,Tree form,Condition of tree,Age Range,Evidence of,Access,Variety
1,,,15/10/2009,15/10/2009,D,15/10/2009,NHMSYS0000455513,Abies alba,M145547,114593,254709,OSI,100,,"Ashford Castle Hotel, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Multi-stem,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
2,,,28/08/2009,28/08/2009,D,28/08/2009,NHMSYS0000455513,Abies alba,T201853,320107,185394,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
3,,,11/09/2009,11/09/2009,D,11/09/2009,NHMSYS0000455513,Abies alba,H410449,241032,344912,OSI,100,,"Colebrooke Estate, Co. Fermanagh",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
4,,,19/10/2009,19/10/2009,D,19/10/2009,NHMSYS0000455513,Abies alba,N297678,229707,267890,OSI,100,,"Newpass House, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
5,,,29/07/2009,29/07/2009,D,29/07/2009,NHMSYS0000455513,Abies alba,N448709,244859,270980,OSI,100,,"Tullynally Castle, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
6,,,17/09/2009,17/09/2009,D,17/09/2009,NHMSYS0000455513,Abies alba,M880199,188021,219970,OSI,100,,"Ballymore Castle, Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
7,,,07/08/2009,07/08/2009,D,07/08/2009,NHMSYS0000455513,Abies alba,T246879,324614,187926,OSI,100,,"Kilmacurragh, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Maiden,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
8,,,12/08/2009,12/08/2009,D,12/08/2009,NHMSYS0000455513,Abies alba,S317368,231729,136865,OSI,100,,"Clonmel, Co. Tipperary",Kate Crane,Kate Crane,False,False,,,Individual tree,,Gone,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
9,,,22/10/2009,22/10/2009,D,22/10/2009,NBDCSYS000000010,Abies bracteata,G881125,188139,312558,OSI,100,,"Kilronan Castle, Ballyfarnon, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
10,,,11/09/2009,11/09/2009,D,11/09/2009,NBNSYS0000034011,Abies nordmanniana,H722421,272296,342181,OSI,100,,"Castle Leslie, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
11,,,24/07/2009,24/07/2009,D,24/07/2009,NBNSYS0000039455,Abies procera,S640362,264009,136251,OSI,100,,"Woodstock Gardens, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group
12,,,28/08/2009,28/08/2009,D,28/08/2009,NBNSYS0000039455,Abies procera,T196862,319626,186271,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group
13,,,24/08/2009,24/08/2009,D,24/08/2009,NBDCSYS000000011,Acacia dealbata,S725183,272544,118344,OSI,100,,"John F. Kennedy Arboretum, Co. Wexford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
14,,,24/08/2009,24/08/2009,D,24/08/2009,NBDCSYS000000011,Acacia dealbata,S747355,274716,135588,OSI,100,,"Pollinmounty Mill, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,Unusual location,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
15,,,22/10/2009,22/10/2009,D,22/10/2009,NBNSYS0000003193,Acer campestre,G700252,170076,325217,OSI,100,,"Markree House, Co. Sligo",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
16,,,11/09/2009,11/09/2009,D,11/09/2009,NBNSYS0000003193,Acer campestre,H407443,240732,344380,OSI,100,,"Colebrooke Estate, Co. Fermanagh",Kate Crane,Kate Crane,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
17,,,23/09/2009,23/09/2009,D,23/09/2009,NBNSYS0000014410,Acer cappadocicum,W607751,160795,75193,OSI,100,,"Blarney Estate, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
18,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000042051,Acer macrophyllum,O161340,316154,234052,OSI,100,,"Trinity College, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
19,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000042051,Acer macrophyllum,O161340,316147,234086,OSI,100,,"Trinity College, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
20,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000042051,Acer macrophyllum,O162340,316280,234062,OSI,100,,"Trinity College, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Trees with character,Individual tree,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
21,,,01/09/2009,01/09/2009,D,01/09/2009,NHMSYS0020745983,Acer opalus,O213164,321380,216481,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
22,,,15/09/2009,15/09/2009,D,15/09/2009,NBNSYS0000003192,Acer platanoides,S246237,224606,123793,OSI,100,,"Newtownanner Stud, Co. Tipperary",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
23,,,04/08/2009,04/08/2009,D,04/08/2009,NBNSYS0000003191,Acer pseudoplatanus,S921692,292170,169236,OSI,100,,"Money House, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Fallen alive,200 - 300 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
24,,,14/10/2009,14/10/2009,D,14/10/2009,NBNSYS0000003191,Acer pseudoplatanus,M231671,123162,267145,OSI,100,,"Ballinrobe Golf Course, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
25,,,26/10/2009,26/10/2009,D,26/10/2009,NBNSYS0000003191,Acer pseudoplatanus,N758757,275820,275760,OSI,100,,"Headford Golf Club, Co. Meath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
26,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000003191,Acer pseudoplatanus,M481390,148194,239035,OSI,100,,"Crumlin Park House, Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
27,,,30/07/2009,30/07/2009,D,30/07/2009,NBNSYS0000003191,Acer pseudoplatanus,H447169,244745,316960,OSI,100,,"Redhills House, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
28,,,25/08/2009,25/08/2009,D,25/08/2009,NBNSYS0000003191,Acer pseudoplatanus,O165665,316520,266582,OSI,100,,"Gormanstown College, Co. Meath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
29,,,28/08/2009,28/08/2009,D,28/08/2009,NBNSYS0000003191,Acer pseudoplatanus,O290066,329065,206641,OSI,100,,"Druids Glen, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
30,,,07/10/2009,07/10/2009,D,07/10/2009,NBNSYS0000003191,Acer pseudoplatanus,N933988,293309,298827,OSI,100,,"Knockabbey Gardens, Co. Louth",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
31,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000003191,Acer pseudoplatanus,M746391,174666,239102,OSI,100,,"Clonbrock, Ballinasloe, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
32,,,30/07/2009,30/07/2009,D,30/07/2009,NBNSYS0000003191,Acer pseudoplatanus,H210163,221070,316341,OSI,100,,"Templeport, Bawnboy, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
33,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000003191,Acer pseudoplatanus,M625464,162592,246436,OSI,100,,"Castlebellew, Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Colony,Standing alive,200 - 300 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
34,,,30/07/2009,30/07/2009,D,30/07/2009,NBNSYS0000003191,Acer pseudoplatanus,H384036,238400,303618,OSI,100,,"Kilmore Cathedral, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,300 - 500 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
35,,,24/09/2009,24/09/2009,D,24/09/2009,NBNSYS0000003191,Acer pseudoplatanus,W184312,118491,31213,OSI,100,,"Castletownsend, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,0 - 50 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
36,,,25/09/2009,25/09/2009,D,25/09/2009,NBNSYS0000003191,Acer pseudoplatanus,R542092,154288,109295,OSI,100,,"Main Street, Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
37,,,23/07/2009,23/07/2009,D,23/07/2009,NBNSYS0000003191,Acer pseudoplatanus,S823597,282300,159758,OSI,100,,"Myshall Community Centre, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,Unusual location,Individual tree,Pollard,Fallen,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
38,,,27/07/2009,27/07/2009,D,27/07/2009,NBNSYS0000003191,Acer pseudoplatanus,S558639,255814,163944,OSI,100,,"Tullowbrin, Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,,,Group,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
39,,,29/07/2009,29/07/2009,D,29/07/2009,NBNSYS0000003191,Acer pseudoplatanus,S389957,238985,195711,OSI,100,,"St. Fintan's Tree, Mountrath, Co. Laois",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Roadside,Multi-stem,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
40,,,21/09/2009,21/09/2009,D,21/09/2009,NBNSYS0000042054,Acer rubrum,X045989,204524,98985,OSI,100,,"Lismore Castle, Co. Waterford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
41,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000004849,Acer saccharinum,O131347,313197,234727,OSI,100,,"Garda Headquarters, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
42,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000004849,Acer saccharinum,O132347,313229,234748,OSI,100,,"Garda Headquarters, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
43,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000004580,Aesculus hippocastanum,O127349,312717,234933,OSI,100,,"Chesterfield Road, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Avenue,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
44,,,07/10/2009,07/10/2009,D,07/10/2009,NBNSYS0000004580,Aesculus hippocastanum,N787974,278794,297450,OSI,100,,"Dun A Ri Forest Park, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
45,,,19/10/2009,19/10/2009,D,19/10/2009,NBNSYS0000004580,Aesculus hippocastanum,N321615,232159,261524,OSI,100,,"Kilbixy Church, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
46,,,06/10/2009,06/10/2009,D,06/10/2009,NBNSYS0000004580,Aesculus hippocastanum,H261059,226103,305945,OSI,100,,"Killegar, Co. Leitrim",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
47,,,27/07/2009,27/07/2009,D,27/07/2009,NBNSYS0000004580,Aesculus hippocastanum,S598446,259854,144689,OSI,100,,"Kilfane House, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Colony,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
48,,,21/09/2009,21/09/2009,D,21/09/2009,NBNSYS0000004580,Aesculus hippocastanum,X280959,228036,95904,OSI,100,,"Glendine House, Waterford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
49,,,22/10/2009,22/10/2009,D,22/10/2009,NBNSYS0000004580,Aesculus hippocastanum,G845039,184550,303900,OSI,100,,"Lough Key Forest Park, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
50,,,04/09/2009,04/09/2009,D,04/09/2009,NBNSYS0000004580,Aesculus hippocastanum,N713307,271390,230709,OSI,100,,"Drummin House, Co. Kildare",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
51,,,07/10/2009,07/10/2009,D,07/10/2009,NBNSYS0000004580,Aesculus hippocastanum,H831040,283172,304073,OSI,100,,"Shercock Road, Monaghan",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
52,,,21/10/2009,21/10/2009,D,21/10/2009,NBNSYS0000004580,Aesculus hippocastanum,G928781,192872,378137,OSI,100,,"Sligo Road, Donegal",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
53,,,11/08/2009,11/08/2009,D,11/08/2009,NBNSYS0000004580,Aesculus hippocastanum,T274966,327474,196658,OSI,100,,"Rossanna, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
54,,,17/09/2009,17/09/2009,D,17/09/2009,NBNSYS0000004580,Aesculus hippocastanum,M960210,196090,221057,OSI,100,,"Clonfert Cathedral, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing dead,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
55,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000004580,Aesculus hippocastanum,M501282,150162,228297,OSI,100,,"Caheroyan, Athenry, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,,Maiden,Standing alive,50 - 100 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
56,,,21/08/2009,21/08/2009,D,21/08/2009,NBDCSYS000000012,Aesculus x carnea,S406646,240690,164686,OSI,100,,"The Square, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
57,,,03/09/2009,03/09/2009,D,03/09/2009,NHMSYS0000455700,Ailanthus altissima,N935375,293520,237591,OSI,100,,"St.Patrick's College, Co. Kildare",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
58,,,25/10/2009,25/10/2009,D,25/10/2009,NHMSYS0000455700,Ailanthus altissima,O151371,315140,237183,OSI,100,,"National Botanic Gardens, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Duclouxii
59,,,30/09/2009,30/09/2009,D,30/09/2009,NHMSYS0000455771,Alnus glutinosa,V955858,95577,85840,OSI,100,,"Reenadinna Wood, Killarney National Park, Co. Kerr",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
60,,,19/10/2009,19/10/2009,D,19/10/2009,NHMSYS0000455771,Alnus glutinosa,N255632,225522,263259,OSI,100,,"Legan, Co. Longford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
61,,,01/10/2009,01/10/2009,D,01/10/2009,NHMSYS0000455771,Alnus glutinosa,Q879126,87964,112677,OSI,100,,"Ballyseedy Wood, Tralee, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
62,,,27/07/2009,27/07/2009,D,27/07/2009,NHMSYS0000455771,Alnus glutinosa,S601313,260183,131344,OSI,100,,"St. Mollins Well, Thomastown, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Coppice,Standing alive,Not known,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
63,,,01/09/2009,01/09/2009,D,01/09/2009,NHMSYS0000456023,Araucaria araucana,O208149,320804,214946,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Arboretum,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
64,,,24/07/2009,24/07/2009,D,24/07/2009,NHMSYS0000456023,Araucaria araucana,S639362,263965,136267,OSI,100,,"Woodstock Gardens, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
65,,,01/09/2009,01/09/2009,D,01/09/2009,NHMSYS0000456023,Araucaria araucana,O210162,321094,216222,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
66,,,06/10/2009,06/10/2009,D,06/10/2009,NHMSYS0000456023,Araucaria araucana,N099936,209918,293675,OSI,100,,"Lough Rinn Hotel, Co. Leitrim",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
67,,,07/10/2009,07/10/2009,D,07/10/2009,NHMSYS0000456023,Araucaria araucana,H829022,282929,302200,OSI,100,,"Lough Fea, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
68,,,15/09/2009,15/09/2009,D,15/09/2009,NHMSYS0000456023,Araucaria araucana,S215222,221589,122223,OSI,100,,"Glenam House, Co. Tipperary",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
69,,,23/07/2009,23/07/2009,D,23/07/2009,NHMSYS0000456023,Araucaria araucana,S823598,282361,159805,OSI,100,,"Myshall Community Centre, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
70,,,01/10/2009,01/10/2009,D,01/10/2009,NBDCSYS000000013,Araucaria heterophylla,V405773,40558,77357,OSI,100,,"Glanleam, Valentia, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
71,,,22/10/2009,22/10/2009,D,22/10/2009,NBNSYS0000003899,Arbutus unedo,G715336,171598,333609,OSI,100,,"Hazelwood Forest, Co. Sligo",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
72,,,29/09/2009,29/09/2009,D,29/09/2009,NBNSYS0000003899,Arbutus unedo,V919820,91927,82093,OSI,100,,"Tower Wood, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
73,,,30/09/2009,30/09/2009,D,30/09/2009,NBNSYS0000003899,Arbutus unedo,V940859,94005,85925,OSI,100,,"Reenadinna Wood, Killarney National Park, Co. Kerr",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
74,,,25/10/2009,25/10/2009,D,25/10/2009,NHMSYS0001754374,Arbutus unedo x andrachne = A. x andrachnoides,O150372,315079,237200,OSI,100,,"National Botanic Gardens, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
75,,,11/10/2009,11/10/2009,D,11/10/2009,NHMSYS0001754374,Arbutus unedo x andrachne = A. x andrachnoides,O178328,317835,232892,OSI,100,,"Berkley Court Hotel, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
76,,,11/10/2009,11/10/2009,D,11/10/2009,NHMSYS0001754374,Arbutus unedo x andrachne = A. x andrachnoides,O183309,318328,230958,OSI,100,,"RTE  Studio, Donnybrook, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Trees with character,Individual tree,Maiden,Standing alive,50 - 100 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
77,,,28/09/2009,28/09/2009,D,28/09/2009,NBNSYS0000003827,Betula pendula,O197261,319705,226129,OSI,100,,"Burton Hall Campus, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Multi-stem,Standing alive,50 - 100 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,
