RecordKey,SurveyKey,SampleKey,StartDate,EndDate,DateType,Date,TaxonVersionKey,TaxonName,GridReference,East,North,Projection,Precision,SiteKey,SiteName,Recorder,Determiner,ZeroAbundance,UnderValidation,ImagePath,Heritage Type,Category of Tree,Tree form,Condition of tree,Age Range,Evidence of,Access,Variety,Longitude,Latitude
1,,,15/10/2009,15/10/2009,D,15/10/2009,NHMSYS0000455513,Abies alba,M145547,114593,254709,OSI,100,,"Ashford Castle Hotel, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Multi-stem,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.288847354230045,53.53557929855568
2,,,28/08/2009,28/08/2009,D,28/08/2009,NHMSYS0000455513,Abies alba,T201853,320107,185394,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.215602717551553,52.906306765988056
3,,,11/09/2009,11/09/2009,D,11/09/2009,NHMSYS0000455513,Abies alba,H410449,241032,344912,OSI,100,,"Colebrooke Estate, Co. Fermanagh",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.369720979900106,54.35126435147572
4,,,19/10/2009,19/10/2009,D,19/10/2009,NHMSYS0000455513,Abies alba,N297678,229707,267890,OSI,100,,"Newpass House, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.551389199950182,53.660105041053654
5,,,29/07/2009,29/07/2009,D,29/07/2009,NHMSYS0000455513,Abies alba,N448709,244859,270980,OSI,100,,"Tullynally Castle, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.321767367861199,53.68678658700201
6,,,17/09/2009,17/09/2009,D,17/09/2009,NHMSYS0000455513,Abies alba,M880199,188021,219970,OSI,100,,"Ballymore Castle, Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.180111495088166,53.230257734361366
7,,,07/08/2009,07/08/2009,D,07/08/2009,NHMSYS0000455513,Abies alba,T246879,324614,187926,OSI,100,,"Kilmacurragh, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Maiden,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.147682844322482,52.92802155954897
8,,,12/08/2009,12/08/2009,D,12/08/2009,NHMSYS0000455513,Abies alba,S317368,231729,136865,OSI,100,,"Clonmel, Co. Tipperary",Kate Crane,Kate Crane,False,False,,,Individual tree,,Gone,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.533709047742351,52.48271345224756
9,,,22/10/2009,22/10/2009,D,22/10/2009,NBDCSYS000000010,Abies bracteata,G881125,188139,312558,OSI,100,,"Kilronan Castle, Ballyfarnon, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.181881639412342,54.06211660687044
10,,,11/09/2009,11/09/2009,D,11/09/2009,NBNSYS0000034011,Abies nordmanniana,H722421,272296,342181,OSI,100,,"Castle Leslie, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.8896564196789765,54.323265667218884
11,,,24/07/2009,24/07/2009,D,24/07/2009,NBNSYS0000039455,Abies procera,S640362,264009,136251,OSI,100,,"Woodstock Gardens, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group,-7.058747398662215,52.47436880159836
12,,,28/08/2009,28/08/2009,D,28/08/2009,NBNSYS0000039455,Abies procera,T196862,319626,186271,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group,-6.222425393144548,52.914290546563066
13,,,24/08/2009,24/08/2009,D,24/08/2009,NBDCSYS000000011,Acacia dealbata,S725183,272544,118344,OSI,100,,"John F. Kennedy Arboretum, Co. Wexford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.937039254454747,52.31241012296249
14,,,24/08/2009,24/08/2009,D,24/08/2009,NBDCSYS000000011,Acacia dealbata,S747355,274716,135588,OSI,100,,"Pollinmounty Mill, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,Unusual location,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.901356400382524,52.467053051911826
15,,,22/10/2009,22/10/2009,D,22/10/2009,NBNSYS0000003193,Acer campestre,G700252,170076,325217,OSI,100,,"Markree House, Co. Sligo",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.458982118220717,54.175106727404035
16,,,11/09/2009,11/09/2009,D,11/09/2009,NBNSYS0000003193,Acer campestre,H407443,240732,344380,OSI,100,,"Colebrooke Estate, Co. Fermanagh",Kate Crane,Kate Crane,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.374406960274301,54.34650944231154
17,,,23/09/2009,23/09/2009,D,23/09/2009,NBNSYS0000014410,Acer cappadocicum,W607751,160795,75193,OSI,100,,"Blarney Estate, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.570646942085224,51.92802318414091
18,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000042051,Acer macrophyllum,O161340,316154,234052,OSI,100,,"Trinity College, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.25672316101915,53.34418210793727
19,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000042051,Acer macrophyllum,O161340,316147,234086,OSI,100,,"Trinity College, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.256815750118992,53.34448899142055
20,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000042051,Acer macrophyllum,O162340,316280,234062,OSI,100,,"Trinity College, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Trees with character,Individual tree,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.254828605271752,53.34424426601517
21,,,01/09/2009,01/09/2009,D,01/09/2009,NHMSYS0020745983,Acer opalus,O213164,321380,216481,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.184996411648832,53.18521227901397
22,,,15/09/2009,15/09/2009,D,15/09/2009,NBNSYS0000003192,Acer platanoides,S246237,224606,123793,OSI,100,,"Newtownanner Stud, Co. Tipperary",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.639510855171064,52.36561272170793
23,,,04/08/2009,04/08/2009,D,04/08/2009,NBNSYS0000003191,Acer pseudoplatanus,S921692,292170,169236,OSI,100,,"Money House, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Fallen alive,200 - 300 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.635236799774804,52.766667860906566
24,,,14/10/2009,14/10/2009,D,14/10/2009,NBNSYS0000003191,Acer pseudoplatanus,M231671,123162,267145,OSI,100,,"Ballinrobe Golf Course, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.162702434151369,53.648611533147125
25,,,26/10/2009,26/10/2009,D,26/10/2009,NBNSYS0000003191,Acer pseudoplatanus,N758757,275820,275760,OSI,100,,"Headford Golf Club, Co. Meath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.8520643552526685,53.726152582396004
26,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000003191,Acer pseudoplatanus,M481390,148194,239035,OSI,100,,"Crumlin Park House, Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.779562330757141,53.39915080003499
27,,,30/07/2009,30/07/2009,D,30/07/2009,NBNSYS0000003191,Acer pseudoplatanus,H447169,244745,316960,OSI,100,,"Redhills House, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.316784571404568,54.09985909442985
28,,,25/08/2009,25/08/2009,D,25/08/2009,NBNSYS0000003191,Acer pseudoplatanus,O165665,316520,266582,OSI,100,,"Gormanstown College, Co. Meath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.2391656848366255,53.63623914454191
29,,,28/08/2009,28/08/2009,D,28/08/2009,NBNSYS0000003191,Acer pseudoplatanus,O290066,329065,206641,OSI,100,,"Druids Glen, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.07406321894993,53.095040353552214
30,,,07/10/2009,07/10/2009,D,07/10/2009,NBNSYS0000003191,Acer pseudoplatanus,N933988,293309,298827,OSI,100,,"Knockabbey Gardens, Co. Louth",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.58019453765019,53.930497848849384
31,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000003191,Acer pseudoplatanus,M746391,174666,239102,OSI,100,,"Clonbrock, Ballinasloe, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.381616099022958,53.40168639163693
32,,,30/07/2009,30/07/2009,D,30/07/2009,NBNSYS0000003191,Acer pseudoplatanus,H210163,221070,316341,OSI,100,,"Templeport, Bawnboy, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Pollard,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.67870701334308,54.095809662697356
33,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000003191,Acer pseudoplatanus,M625464,162592,246436,OSI,100,,"Castlebellew, Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Colony,Standing alive,200 - 300 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.564002987250852,53.466860692255274
34,,,30/07/2009,30/07/2009,D,30/07/2009,NBNSYS0000003191,Acer pseudoplatanus,H384036,238400,303618,OSI,100,,"Kilmore Cathedral, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,300 - 500 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.415451572318061,53.980513412985594
35,,,24/09/2009,24/09/2009,D,24/09/2009,NBNSYS0000003191,Acer pseudoplatanus,W184312,118491,31213,OSI,100,,"Castletownsend, Co. Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,0 - 50 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.17522268539498,51.52825380757801
36,,,25/09/2009,25/09/2009,D,25/09/2009,NBNSYS0000003191,Acer pseudoplatanus,R542092,154288,109295,OSI,100,,"Main Street, Cork",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.669801329892246,52.23397814963724
37,,,23/07/2009,23/07/2009,D,23/07/2009,NBNSYS0000003191,Acer pseudoplatanus,S823597,282300,159758,OSI,100,,"Myshall Community Centre, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,Unusual location,Individual tree,Pollard,Fallen,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.783794721672506,52.683110687187785
38,,,27/07/2009,27/07/2009,D,27/07/2009,NBNSYS0000003191,Acer pseudoplatanus,S558639,255814,163944,OSI,100,,"Tullowbrin, Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,,,Group,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.174668295994581,52.72409425853437
39,,,29/07/2009,29/07/2009,D,29/07/2009,NBNSYS0000003191,Acer pseudoplatanus,S389957,238985,195711,OSI,100,,"St. Fintan's Tree, Mountrath, Co. Laois",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Roadside,Multi-stem,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.419928419031155,53.01100158567642
40,,,21/09/2009,21/09/2009,D,21/09/2009,NBNSYS0000042054,Acer rubrum,X045989,204524,98985,OSI,100,,"Lismore Castle, Co. Waterford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.9346464728007575,52.14320444797676
41,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000004849,Acer saccharinum,O131347,313197,234727,OSI,100,,"Garda Headquarters, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.300858721717732,53.35088460680962
42,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000004849,Acer saccharinum,O132347,313229,234748,OSI,100,,"Garda Headquarters, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.300370904078032,53.35106636594678
43,,,11/10/2009,11/10/2009,D,11/10/2009,NBNSYS0000004580,Aesculus hippocastanum,O127349,312717,234933,OSI,100,,"Chesterfield Road, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Avenue,Maiden,Standing alive,100 - 150 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.307990126563946,53.352837109442504
44,,,07/10/2009,07/10/2009,D,07/10/2009,NBNSYS0000004580,Aesculus hippocastanum,N787974,278794,297450,OSI,100,,"Dun A Ri Forest Park, Co. Cavan",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,150 - 200 years,Holes,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.8014689451497246,53.920538744059655
45,,,19/10/2009,19/10/2009,D,19/10/2009,NBNSYS0000004580,Aesculus hippocastanum,N321615,232159,261524,OSI,100,,"Kilbixy Church, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.5149583304476515,53.602766591380984
46,,,06/10/2009,06/10/2009,D,06/10/2009,NBNSYS0000004580,Aesculus hippocastanum,H261059,226103,305945,OSI,100,,"Killegar, Co. Leitrim",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.602676626231767,54.002184779941075
47,,,27/07/2009,27/07/2009,D,27/07/2009,NBNSYS0000004580,Aesculus hippocastanum,S598446,259854,144689,OSI,100,,"Kilfane House, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Colony,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.118369215822216,52.55065673002784
48,,,21/09/2009,21/09/2009,D,21/09/2009,NBNSYS0000004580,Aesculus hippocastanum,X280959,228036,95904,OSI,100,,"Glendine House, Waterford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.591469456605161,52.1148252630692
49,,,22/10/2009,22/10/2009,D,22/10/2009,NBNSYS0000004580,Aesculus hippocastanum,G845039,184550,303900,OSI,100,,"Lough Key Forest Park, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.236250980170148,53.98423888265254
50,,,04/09/2009,04/09/2009,D,04/09/2009,NBNSYS0000004580,Aesculus hippocastanum,N713307,271390,230709,OSI,100,,"Drummin House, Co. Kildare",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.929423295562482,53.32207761150195
51,,,07/10/2009,07/10/2009,D,07/10/2009,NBNSYS0000004580,Aesculus hippocastanum,H831040,283172,304073,OSI,100,,"Shercock Road, Monaghan",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.733049150295392,53.979342161835824
52,,,21/10/2009,21/10/2009,D,21/10/2009,NBNSYS0000004580,Aesculus hippocastanum,G928781,192872,378137,OSI,100,,"Sligo Road, Donegal",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.11117456095959,54.65132971894429
53,,,11/08/2009,11/08/2009,D,11/08/2009,NBNSYS0000004580,Aesculus hippocastanum,T274966,327474,196658,OSI,100,,"Rossanna, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.101744784178082,53.00576998799687
54,,,17/09/2009,17/09/2009,D,17/09/2009,NBNSYS0000004580,Aesculus hippocastanum,M960210,196090,221057,OSI,100,,"Clonfert Cathedral, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Maiden,Standing dead,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.059298783768712,53.240145538476725
55,,,13/10/2009,13/10/2009,D,13/10/2009,NBNSYS0000004580,Aesculus hippocastanum,M501282,150162,228297,OSI,100,,"Caheroyan, Athenry, Co. Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,,Maiden,Standing alive,50 - 100 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.748288699261746,53.3028676800091
56,,,21/08/2009,21/08/2009,D,21/08/2009,NBDCSYS000000012,Aesculus x carnea,S406646,240690,164686,OSI,100,,"The Square, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.398400279449183,52.732108689852176
57,,,03/09/2009,03/09/2009,D,03/09/2009,NHMSYS0000455700,Ailanthus altissima,N935375,293520,237591,OSI,100,,"St.Patrick's College, Co. Kildare",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,50 - 100 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.59539432407345,53.38045125317046
58,,,25/10/2009,25/10/2009,D,25/10/2009,NHMSYS0000455700,Ailanthus altissima,O151371,315140,237183,OSI,100,,"National Botanic Gardens, Dublin",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Duclouxii,-6.270801954791055,53.37252266581979
59,,,30/09/2009,30/09/2009,D,30/09/2009,NHMSYS0000455771,Alnus glutinosa,V955858,95577,85840,OSI,100,,"Reenadinna Wood, Killarney National Park, Co. Kerr",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Fungi,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.521705657452227,52.015266893911765
60,,,19/10/2009,19/10/2009,D,19/10/2009,NHMSYS0000455771,Alnus glutinosa,N255632,225522,263259,OSI,100,,"Legan, Co. Longford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Hollowing,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.6150695397125405,53.61871915817292
61,,,01/10/2009,01/10/2009,D,01/10/2009,NHMSYS0000455771,Alnus glutinosa,Q879126,87964,112677,OSI,100,,"Ballyseedy Wood, Tralee, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.641382749043718,52.25486438828837
62,,,27/07/2009,27/07/2009,D,27/07/2009,NHMSYS0000455771,Alnus glutinosa,S601313,260183,131344,OSI,100,,"St. Mollins Well, Thomastown, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Named trees,Individual tree,Coppice,Standing alive,Not known,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.115928648706288,52.430712759872186
63,,,01/09/2009,01/09/2009,D,01/09/2009,NHMSYS0000456023,Araucaria araucana,O208149,320804,214946,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Arboretum,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.194187508245488,53.171557735199485
64,,,24/07/2009,24/07/2009,D,24/07/2009,NHMSYS0000456023,Araucaria araucana,S639362,263965,136267,OSI,100,,"Woodstock Gardens, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.059391759222133,52.474517714907286
65,,,01/09/2009,01/09/2009,D,01/09/2009,NHMSYS0000456023,Araucaria araucana,O210162,321094,216222,OSI,100,,"Powerscourt, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.1893704007064745,53.18295136298499
66,,,06/10/2009,06/10/2009,D,06/10/2009,NHMSYS0000456023,Araucaria araucana,N099936,209918,293675,OSI,100,,"Lough Rinn Hotel, Co. Leitrim",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.8498907452107565,53.892513647145975
67,,,07/10/2009,07/10/2009,D,07/10/2009,NHMSYS0000456023,Araucaria araucana,H829022,282929,302200,OSI,100,,"Lough Fea, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.73726083800389,53.96255813011716
68,,,15/09/2009,15/09/2009,D,15/09/2009,NHMSYS0000456023,Araucaria araucana,S215222,221589,122223,OSI,100,,"Glenam House, Co. Tipperary",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.68390075683055,52.351631075689134
69,,,23/07/2009,23/07/2009,D,23/07/2009,NHMSYS0000456023,Araucaria araucana,S823598,282361,159805,OSI,100,,"Myshall Community Centre, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.7828812170302495,52.68352367449504
70,,,01/10/2009,01/10/2009,D,01/10/2009,NBDCSYS000000013,Araucaria heterophylla,V405773,40558,77357,OSI,100,,"Glanleam, Valentia, Co. Kerry",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-10.318563658409365,51.92602409105714
